angle_deg,cp_min,abs_cp_min,n_points
-15.0,-4.87219,4.87219,320
-14.75,-4.80272,4.80272,320
-14.5,-4.73027,4.73027,320
-14.25,-4.66184,4.66184,320
-14.0,-4.58278,4.58278,320
-13.75,-4.50665,4.50665,320
-13.5,-4.4276,4.4276,320
-13.25,-4.34599,4.34599,320
-13.0,-4.26476,4.26476,320
-12.75,-4.18248,4.18248,320
-12.5,-4.09643,4.09643,320
-12.25,-4.01225,4.01225,320
-12.0,-3.92516,3.92516,320
-11.75,-3.83953,3.83953,320
-11.5,-3.75549,3.75549,320
-11.25,-3.66882,3.66882,320
-11.0,-3.58762,3.58762,320
-10.75,-3.50609,3.50609,320
-10.5,-3.42635,3.42635,320
-10.25,-3.35393,3.35393,320
-10.0,-3.28827,3.28827,320
-9.75,-3.22948,3.22948,320
-9.5,-3.17108,3.17108,320
-9.25,-3.10332,3.10332,320
-9.0,-3.01463,3.01463,320
-8.75,-2.89767,2.89767,320
-8.5,-2.78228,2.78228,320
-8.25,-2.66919,2.66919,320
-8.0,-2.56149,2.56149,320
-7.5,-2.34984,2.34984,320
-7.25,-2.25107,2.25107,320
-7.0,-2.155,2.155,320
-6.75,-2.06379,2.06379,320
-6.5,-1.97508,1.97508,320
-6.25,-1.89043,1.89043,320
-6.0,-1.8115,1.8115,320
-5.75,-1.73413,1.73413,320
-5.5,-1.65968,1.65968,320
-5.25,-1.58911,1.58911,320
-5.0,-1.51924,1.51924,320
-4.75,-1.45584,1.45584,320
-4.5,-1.3931,1.3931,320
-4.25,-1.33218,1.33218,320
-4.0,-1.27464,1.27464,320
-3.75,-1.21968,1.21968,320
-3.5,-1.16739,1.16739,320
-3.0,-1.06762,1.06762,320
-2.75,-1.02115,1.02115,320
-2.5,-0.97752,0.97752,320
-2.25,-0.93414,0.93414,320
-2.0,-0.89306,0.89306,320
-1.75,-0.85483,0.85483,320
-1.5,-0.8174,0.8174,320
-1.25,-0.78156,0.78156,320
-1.0,-0.74744,0.74744,320
-0.75,-0.71444,0.71444,320
-0.5,-0.68305,0.68305,320
-0.25,-0.6526,0.6526,320
0.0,-0.62415,0.62415,320
0.1,-0.63519,0.63519,320
0.2,-0.64743,0.64743,320
0.3,-0.65954,0.65954,320
0.4,-0.67186,0.67186,320
0.5,-0.68402,0.68402,320
0.6,-0.69612,0.69612,320
0.8,-0.72121,0.72121,320
0.9,-0.73438,0.73438,320
1.0,-0.74752,0.74752,320
1.1,-0.76092,0.76092,320
1.3,-0.78875,0.78875,320
1.4,-0.8029,0.8029,320
1.5,-0.81725,0.81725,320
1.6,-0.83139,0.83139,320
1.8,-0.86254,0.86254,320
1.9,-0.87814,0.87814,320
2.0,-0.89378,0.89378,320
2.1,-0.90987,0.90987,320
2.3,-0.94285,0.94285,320
2.4,-0.95907,0.95907,320
2.5,-0.97701,0.97701,320
2.6,-0.99464,0.99464,320
2.8,-1.03065,1.03065,320
2.9,-1.04922,1.04922,320
3.0,-1.06719,1.06719,320
3.1,-1.08665,1.08665,320
3.2,-1.10642,1.10642,320
3.3,-1.12642,1.12642,320
3.4,-1.14627,1.14627,320
3.5,-1.16798,1.16798,320
3.6,-1.18852,1.18852,320
3.7,-1.20987,1.20987,320
3.8,-1.23097,1.23097,320
3.9,-1.25331,1.25331,320
4.0,-1.27613,1.27613,320
4.1,-1.29833,1.29833,320
4.2,-1.32172,1.32172,320
4.3,-1.34533,1.34533,320
4.4,-1.36921,1.36921,320
4.5,-1.39388,1.39388,320
4.6,-1.41785,1.41785,320
4.7,-1.44262,1.44262,320
4.8,-1.46749,1.46749,320
4.9,-1.49374,1.49374,320
5.0,-1.51898,1.51898,320
5.1,-1.54686,1.54686,320
5.2,-1.57405,1.57405,320
5.3,-1.60191,1.60191,320
5.4,-1.63028,1.63028,320
5.5,-1.65882,1.65882,320
5.6,-1.68838,1.68838,320
5.7,-1.71896,1.71896,320
5.8,-1.74836,1.74836,320
5.9,-1.77992,1.77992,320
6.0,-1.81143,1.81143,320
6.1,-1.84298,1.84298,320
6.2,-1.87425,1.87425,320
6.3,-1.90866,1.90866,320
6.4,-1.94106,1.94106,320
6.5,-1.97401,1.97401,320
6.6,-2.00935,2.00935,320
6.7,-2.04458,2.04458,320
6.8,-2.08125,2.08125,320
6.9,-2.11828,2.11828,320
7.0,-2.1564,2.1564,320
7.1,-2.19414,2.19414,320
7.2,-2.23353,2.23353,320
7.3,-2.27039,2.27039,320
7.4,-2.31106,2.31106,320
