angle_deg,cp_min,abs_cp_min,n_points
-15.0,-2.41828,2.41828,320
-14.75,-7.60353,7.60353,320
-14.5,-8.23507,8.23507,320
-14.25,-6.99929,6.99929,320
-14.0,-6.68373,6.68373,320
-13.25,-9.86269,9.86269,320
-13.0,-9.92371,9.92371,320
-12.75,-9.72709,9.72709,320
-12.5,-9.47314,9.47314,320
-12.25,-9.2059,9.2059,320
-12.0,-8.93586,8.93586,320
-11.75,-8.68602,8.68602,320
-11.5,-8.41632,8.41632,320
-11.25,-8.13113,8.13113,320
-11.0,-7.84845,7.84845,320
-10.75,-7.58753,7.58753,320
-10.5,-7.32119,7.32119,320
-10.25,-7.04845,7.04845,320
-10.0,-6.77706,6.77706,320
-9.75,-6.51146,6.51146,320
-9.5,-6.25678,6.25678,320
-9.25,-6.00586,6.00586,320
-9.0,-5.7655,5.7655,320
-8.75,-5.5266,5.5266,320
-8.5,-5.2953,5.2953,320
-8.25,-5.06522,5.06522,320
-8.0,-4.83321,4.83321,320
-7.75,-4.62023,4.62023,320
-7.5,-4.4042,4.4042,320
-7.25,-4.19742,4.19742,320
-7.0,-3.98777,3.98777,320
-6.75,-3.78926,3.78926,320
-6.5,-3.59634,3.59634,320
-6.25,-3.40235,3.40235,320
-6.0,-3.21347,3.21347,320
-5.75,-3.03026,3.03026,320
-5.5,-2.85293,2.85293,320
-5.25,-2.68455,2.68455,320
-5.0,-2.51794,2.51794,320
-4.75,-2.35749,2.35749,320
-4.5,-2.20285,2.20285,320
-4.25,-2.05449,2.05449,320
-4.0,-1.91047,1.91047,320
-3.75,-1.77368,1.77368,320
-3.5,-1.63852,1.63852,320
-3.25,-1.51122,1.51122,320
-3.0,-1.38978,1.38978,320
-2.75,-1.27406,1.27406,320
-2.5,-1.1648,1.1648,320
-2.25,-1.059,1.059,320
-2.0,-0.95864,0.95864,320
-1.75,-0.86402,0.86402,320
-1.5,-0.77802,0.77802,320
-1.25,-0.69157,0.69157,320
-1.0,-0.6866,0.6866,320
-0.75,-0.70644,0.70644,320
-0.5,-0.72723,0.72723,320
0.0,-0.76894,0.76894,320
0.2,-0.78617,0.78617,320
0.3,-0.79496,0.79496,320
0.4,-0.80341,0.80341,320
0.5,-0.81238,0.81238,320
0.6,-0.82087,0.82087,320
0.7,-0.83005,0.83005,320
0.8,-0.83889,0.83889,320
0.9,-0.84785,0.84785,320
1.0,-0.85657,0.85657,320
1.1,-0.86544,0.86544,320
1.2,-0.87416,0.87416,320
1.3,-0.88231,0.88231,320
1.4,-0.89018,0.89018,320
1.5,-0.89896,0.89896,320
1.6,-0.91274,0.91274,320
1.7,-0.9266,0.9266,320
1.8,-0.93944,0.93944,320
1.9,-0.94936,0.94936,320
2.0,-0.95988,0.95988,320
2.1,-0.96995,0.96995,320
2.2,-0.98035,0.98035,320
2.3,-0.99064,0.99064,320
2.4,-1.00112,1.00112,320
2.5,-1.01177,1.01177,320
2.6,-1.02294,1.02294,320
2.7,-1.03464,1.03464,320
2.8,-1.0462,1.0462,320
2.9,-1.05775,1.05775,320
3.0,-1.06951,1.06951,320
3.1,-1.08131,1.08131,320
3.2,-1.09399,1.09399,320
3.3,-1.10663,1.10663,320
3.4,-1.11936,1.11936,320
3.5,-1.13207,1.13207,320
3.6,-1.14485,1.14485,320
3.7,-1.15823,1.15823,320
3.8,-1.17174,1.17174,320
3.9,-1.18601,1.18601,320
4.0,-1.2018,1.2018,320
4.1,-1.21811,1.21811,320
4.2,-1.23459,1.23459,320
4.3,-1.25322,1.25322,320
4.4,-1.27447,1.27447,320
4.5,-1.30043,1.30043,320
4.6,-1.32801,1.32801,320
4.7,-1.35689,1.35689,320
4.8,-1.38724,1.38724,320
4.9,-1.41956,1.41956,320
5.0,-1.4555,1.4555,320
5.1,-1.48992,1.48992,320
5.2,-1.52552,1.52552,320
5.3,-1.56263,1.56263,320
5.4,-1.60182,1.60182,320
5.5,-1.6412,1.6412,320
5.6,-1.67935,1.67935,320
5.7,-1.7184,1.7184,320
5.8,-1.75953,1.75953,320
5.9,-1.80062,1.80062,320
6.0,-1.84416,1.84416,320
6.1,-1.88762,1.88762,320
6.2,-1.93301,1.93301,320
6.3,-1.97705,1.97705,320
6.4,-2.02441,2.02441,320
6.5,-2.07406,2.07406,320
6.6,-2.11914,2.11914,320
6.7,-2.16767,2.16767,320
6.8,-2.21529,2.21529,320
6.9,-2.26131,2.26131,320
7.0,-2.30932,2.30932,320
7.1,-2.3576,2.3576,320
7.2,-2.40699,2.40699,320
7.3,-2.45887,2.45887,320
7.4,-2.50702,2.50702,320
7.5,-2.55974,2.55974,320
7.6,-2.60722,2.60722,320
7.7,-2.6597,2.6597,320
7.8,-2.71185,2.71185,320
7.9,-2.76091,2.76091,320
8.0,-2.8141,2.8141,320
8.1,-2.86389,2.86389,320
8.2,-2.91858,2.91858,320
8.3,-2.97054,2.97054,320
8.4,-3.02325,3.02325,320
8.5,-3.07033,3.07033,320
8.6,-3.12472,3.12472,320
8.7,-3.18363,3.18363,320
8.8,-3.23093,3.23093,320
8.9,-3.28585,3.28585,320
9.0,-3.33601,3.33601,320
9.1,-3.39422,3.39422,320
9.2,-3.44679,3.44679,320
9.3,-3.50004,3.50004,320
9.4,-3.55372,3.55372,320
9.5,-3.61079,3.61079,320
9.6,-3.66959,3.66959,320
9.7,-3.72848,3.72848,320
9.8,-3.7894,3.7894,320
9.9,-3.84734,3.84734,320
10.0,-3.90632,3.90632,320
10.1,-3.96427,3.96427,320
10.2,-4.02244,4.02244,320
10.3,-4.08006,4.08006,320
10.4,-4.14513,4.14513,320
10.5,-4.20469,4.20469,320
10.6,-4.26577,4.26577,320
10.7,-4.32643,4.32643,320
10.8,-4.38981,4.38981,320
10.9,-4.44619,4.44619,320
11.0,-4.50667,4.50667,320
11.1,-4.57147,4.57147,320
11.2,-4.62854,4.62854,320
11.3,-4.69723,4.69723,320
11.4,-4.74982,4.74982,320
11.5,-4.81432,4.81432,320
11.6,-4.87659,4.87659,320
11.7,-4.93241,4.93241,320
11.8,-4.99357,4.99357,320
11.9,-5.05599,5.05599,320
12.0,-5.11692,5.11692,320
12.1,-5.17703,5.17703,320
12.2,-5.24824,5.24824,320
12.3,-5.30954,5.30954,320
12.4,-5.3538,5.3538,320
12.5,-5.41161,5.41161,320
12.6,-5.4797,5.4797,320
12.7,-5.53924,5.53924,320
12.8,-5.59303,5.59303,320
12.9,-5.64929,5.64929,320
13.0,-5.7095,5.7095,320
13.1,-5.77317,5.77317,320
13.2,-5.83665,5.83665,320
13.3,-5.89525,5.89525,320
13.4,-5.94952,5.94952,320
13.5,-6.0098,6.0098,320
13.6,-6.0647,6.0647,320
13.7,-6.12916,6.12916,320
13.8,-6.18452,6.18452,320
13.9,-6.23992,6.23992,320
14.0,-6.30224,6.30224,320
