angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.25202,1.25202,200
-14.75,-1.27392,1.27392,200
-14.5,-1.25309,1.25309,200
-14.25,-1.23995,1.23995,200
-14.0,-1.24872,1.24872,200
-13.75,-1.27675,1.27675,200
-13.5,-1.26414,1.26414,200
-13.25,-1.22996,1.22996,200
-13.0,-1.26,1.26,200
-12.75,-1.27828,1.27828,200
-12.5,-1.2404,1.2404,200
-12.25,-1.26175,1.26175,200
-12.0,-1.25778,1.25778,200
-11.75,-1.24793,1.24793,200
-11.5,-1.25567,1.25567,200
-11.25,-1.26372,1.26372,200
-11.0,-1.18767,1.18767,200
-10.75,-1.23718,1.23718,200
-10.5,-1.20936,1.20936,200
-10.25,-1.23571,1.23571,200
-10.0,-1.17375,1.17375,200
-9.75,-1.17459,1.17459,200
-9.5,-1.21481,1.21481,200
-9.25,-1.14328,1.14328,200
-9.0,-1.15931,1.15931,200
-8.75,-1.16123,1.16123,200
-8.5,-1.17061,1.17061,200
-8.25,-1.15635,1.15635,200
-8.0,-1.17971,1.17971,200
-7.75,-1.17064,1.17064,200
-7.5,-1.17554,1.17554,200
-7.25,-1.1778,1.1778,200
-7.0,-1.17731,1.17731,200
-6.75,-1.17937,1.17937,200
-6.5,-1.19443,1.19443,200
-6.25,-1.17405,1.17405,200
-6.0,-1.18007,1.18007,200
-5.75,-1.18899,1.18899,200
-5.25,-1.1574,1.1574,200
-5.0,-1.14535,1.14535,200
-4.5,-1.12461,1.12461,200
-4.25,-1.0719,1.0719,200
-4.0,-1.70296,1.70296,200
-3.75,-1.78414,1.78414,200
-3.5,-1.4904,1.4904,200
-3.25,-1.5065,1.5065,200
-3.0,-1.56547,1.56547,200
-2.75,-1.55422,1.55422,200
-2.5,-1.56113,1.56113,200
-2.25,-1.56248,1.56248,200
-2.0,-1.51979,1.51979,200
-1.75,-1.49469,1.49469,200
-1.5,-1.52371,1.52371,200
-1.25,-1.54282,1.54282,200
-1.0,-1.49012,1.49012,200
-0.75,-1.48193,1.48193,200
-0.5,-1.46025,1.46025,200
-0.25,-1.44325,1.44325,200
0.0,-1.48038,1.48038,200
0.25,-1.37939,1.37939,200
0.5,-1.1796,1.1796,200
0.75,-1.00227,1.00227,200
1.0,-0.78956,0.78956,200
1.25,-0.59619,0.59619,200
1.5,-0.53992,0.53992,200
1.75,-0.56414,0.56414,200
2.0,-0.58947,0.58947,200
2.25,-0.61728,0.61728,200
2.5,-0.64418,0.64418,200
2.75,-0.67586,0.67586,200
3.0,-0.70907,0.70907,200
3.25,-0.74387,0.74387,200
3.5,-0.77949,0.77949,200
3.75,-0.81808,0.81808,200
4.0,-0.85766,0.85766,200
4.25,-0.9332,0.9332,200
4.5,-1.03497,1.03497,200
4.75,-1.21085,1.21085,200
5.0,-1.46756,1.46756,200
5.25,-1.71161,1.71161,200
5.5,-1.97394,1.97394,200
5.75,-2.2459,2.2459,200
6.0,-2.56653,2.56653,200
6.25,-2.90066,2.90066,200
6.5,-3.31316,3.31316,200
6.75,-3.57285,3.57285,200
7.0,-3.66764,3.66764,200
7.25,-3.72959,3.72959,200
7.5,-3.81439,3.81439,200
7.75,-3.93491,3.93491,200
8.0,-4.16445,4.16445,200
8.25,-4.34641,4.34641,200
8.5,-4.49729,4.49729,200
8.75,-4.7233,4.7233,200
9.0,-4.78221,4.78221,200
9.25,-4.73932,4.73932,200
9.5,-4.71722,4.71722,200
9.75,-4.72869,4.72869,200
10.0,-4.66991,4.66991,200
10.25,-4.52444,4.52444,200
10.5,-4.42296,4.42296,200
10.75,-4.29199,4.29199,200
11.0,-4.10779,4.10779,200
11.25,-4.03537,4.03537,200
11.5,-3.87983,3.87983,200
11.75,-3.73841,3.73841,200
12.0,-3.61731,3.61731,200
12.25,-3.51834,3.51834,200
12.5,-3.43276,3.43276,200
12.75,-3.35249,3.35249,200
13.0,-3.36911,3.36911,200
13.5,-3.15052,3.15052,200
13.75,-3.05002,3.05002,200
14.0,-3.05064,3.05064,200
14.25,-2.98628,2.98628,200
14.5,-2.98632,2.98632,200
14.75,-2.94634,2.94634,200
15.0,-2.91075,2.91075,200
15.25,-2.91893,2.91893,200
15.5,-2.89693,2.89693,200
15.75,-2.84333,2.84333,200
16.0,-2.75007,2.75007,200
16.25,-2.69307,2.69307,200
16.5,-1.53567,1.53567,200
16.75,-1.4585,1.4585,200
17.0,-1.66868,1.66868,200
17.25,-1.65667,1.65667,200
17.5,-1.56726,1.56726,200
17.75,-1.59815,1.59815,200
18.0,-1.45014,1.45014,200
18.25,-1.46946,1.46946,200
18.5,-1.54496,1.54496,200
18.75,-1.6051,1.6051,200
19.0,-1.45904,1.45904,200
19.25,-1.568,1.568,200
19.5,-1.47486,1.47486,200
19.75,-1.47191,1.47191,200
20.0,-1.5102,1.5102,200
20.25,-1.42075,1.42075,200
20.5,-1.44922,1.44922,200
20.75,-1.45151,1.45151,200
21.0,-1.4477,1.4477,200
21.25,-1.36883,1.36883,200
21.5,-1.34735,1.34735,200
21.75,-1.30703,1.30703,200
22.0,-1.37567,1.37567,200
22.25,-1.31655,1.31655,200
22.5,-1.4493,1.4493,200
22.75,-1.62041,1.62041,200
23.0,-1.36315,1.36315,200
23.25,-1.45832,1.45832,200
23.5,-1.39004,1.39004,200
23.75,-1.27939,1.27939,200
24.0,-1.43721,1.43721,200
24.25,-1.45911,1.45911,200
24.5,-1.40271,1.40271,200
24.75,-1.47271,1.47271,200
25.0,-1.30849,1.30849,200
25.25,-1.40179,1.40179,200
25.5,-1.29988,1.29988,200
25.75,-1.30418,1.30418,200
26.0,-1.38522,1.38522,200
26.25,-1.26658,1.26658,200
26.5,-1.2957,1.2957,200
26.75,-1.30431,1.30431,200
27.0,-1.28369,1.28369,200
27.25,-1.32881,1.32881,200
27.5,-1.42126,1.42126,200
27.75,-1.32637,1.32637,200
28.0,-1.23057,1.23057,200
28.25,-1.25145,1.25145,200
28.5,-1.2792,1.2792,200
28.75,-1.30207,1.30207,200
29.0,-1.36865,1.36865,200
29.25,-1.34656,1.34656,200
29.5,-1.18654,1.18654,200
29.75,-1.28388,1.28388,200
30.0,-1.3658,1.3658,200
