angle_deg,cp_min,abs_cp_min,n_points
-10.0,-1.99101,1.99101,320
-9.75,-2.05052,2.05052,320
-9.5,-2.15455,2.15455,320
-9.25,-2.27225,2.27225,320
-9.0,-2.3299,2.3299,320
-8.75,-2.40034,2.40034,320
-8.5,-2.47127,2.47127,320
-8.25,-2.54516,2.54516,320
-8.0,-2.63219,2.63219,320
-7.75,-2.7409,2.7409,320
-7.5,-2.91427,2.91427,320
-7.25,-3.33063,3.33063,320
-7.0,-3.35573,3.35573,320
-6.75,-3.36074,3.36074,320
-6.5,-3.32887,3.32887,320
-6.25,-3.23704,3.23704,320
-6.0,-3.11249,3.11249,320
-5.75,-3.00316,3.00316,320
-5.5,-2.85184,2.85184,320
-5.25,-2.70731,2.70731,320
-5.0,-2.56222,2.56222,320
-4.75,-2.42166,2.42166,320
-4.5,-2.27705,2.27705,320
-4.25,-2.13517,2.13517,320
-4.0,-1.99601,1.99601,320
-3.75,-1.86063,1.86063,320
-3.5,-1.72935,1.72935,320
-3.25,-1.59664,1.59664,320
-3.0,-1.47535,1.47535,320
-2.75,-1.35911,1.35911,320
-2.5,-1.24955,1.24955,320
-2.25,-1.14363,1.14363,320
-2.0,-1.04008,1.04008,320
-1.75,-0.94201,0.94201,320
-1.5,-0.85013,0.85013,320
-1.25,-0.76343,0.76343,320
-1.0,-0.68449,0.68449,320
-0.75,-0.65887,0.65887,320
-0.5,-0.69324,0.69324,320
-0.25,-0.71323,0.71323,320
0.0,-0.73395,0.73395,320
0.1,-0.74358,0.74358,320
0.2,-0.75148,0.75148,320
0.3,-0.76093,0.76093,320
0.4,-0.76881,0.76881,320
0.5,-0.77841,0.77841,320
0.6,-0.7867,0.7867,320
0.7,-0.79661,0.79661,320
0.8,-0.80498,0.80498,320
0.9,-0.81487,0.81487,320
1.0,-0.82321,0.82321,320
1.1,-0.83318,0.83318,320
1.2,-0.84164,0.84164,320
1.3,-0.85186,0.85186,320
1.4,-0.86069,0.86069,320
1.5,-0.87095,0.87095,320
1.6,-0.88001,0.88001,320
1.7,-0.89027,0.89027,320
1.8,-0.90001,0.90001,320
1.9,-0.91045,0.91045,320
2.0,-0.92022,0.92022,320
2.1,-0.9306,0.9306,320
2.2,-0.94041,0.94041,320
2.3,-0.95074,0.95074,320
2.4,-0.96134,0.96134,320
2.5,-0.97206,0.97206,320
2.6,-0.98315,0.98315,320
2.7,-0.99391,0.99391,320
2.8,-1.00588,1.00588,320
2.9,-1.01642,1.01642,320
3.0,-1.0285,1.0285,320
3.1,-1.039,1.039,320
3.2,-1.05166,1.05166,320
3.3,-1.06351,1.06351,320
3.4,-1.076,1.076,320
3.5,-1.08842,1.08842,320
3.6,-1.10046,1.10046,320
3.7,-1.11447,1.11447,320
3.8,-1.12663,1.12663,320
3.9,-1.14089,1.14089,320
4.0,-1.15453,1.15453,320
4.1,-1.16985,1.16985,320
4.2,-1.18566,1.18566,320
4.3,-1.20149,1.20149,320
4.4,-1.2196,1.2196,320
4.5,-1.23755,1.23755,320
4.6,-1.25939,1.25939,320
4.7,-1.2834,1.2834,320
4.8,-1.30932,1.30932,320
4.9,-1.33749,1.33749,320
5.0,-1.36484,1.36484,320
5.1,-1.39677,1.39677,320
5.2,-1.42637,1.42637,320
5.3,-1.46087,1.46087,320
5.4,-1.49428,1.49428,320
5.6,-1.56486,1.56486,320
5.7,-1.5999,1.5999,320
5.8,-1.63949,1.63949,320
5.9,-1.67643,1.67643,320
6.0,-1.71748,1.71748,320
6.1,-1.75468,1.75468,320
6.2,-1.79509,1.79509,320
6.3,-1.83669,1.83669,320
6.4,-1.87903,1.87903,320
6.5,-1.92166,1.92166,320
6.6,-1.96388,1.96388,320
6.7,-2.00939,2.00939,320
6.8,-2.05208,2.05208,320
6.9,-2.09816,2.09816,320
7.0,-2.14566,2.14566,320
7.1,-2.19184,2.19184,320
7.2,-2.24198,2.24198,320
7.3,-2.28559,2.28559,320
7.4,-2.33508,2.33508,320
7.5,-2.3797,2.3797,320
7.6,-2.42705,2.42705,320
7.7,-2.47563,2.47563,320
7.8,-2.52385,2.52385,320
7.9,-2.57097,2.57097,320
8.0,-2.6195,2.6195,320
8.1,-2.66876,2.66876,320
8.2,-2.71635,2.71635,320
8.3,-2.76214,2.76214,320
8.4,-2.80995,2.80995,320
8.5,-2.85638,2.85638,320
8.6,-2.90385,2.90385,320
8.7,-2.95097,2.95097,320
8.8,-2.99801,2.99801,320
8.9,-3.04309,3.04309,320
9.0,-3.08705,3.08705,320
9.1,-3.1342,3.1342,320
9.2,-3.17723,3.17723,320
9.3,-3.21723,3.21723,320
9.4,-3.25601,3.25601,320
9.5,-3.29808,3.29808,320
9.6,-3.33663,3.33663,320
9.7,-3.37291,3.37291,320
9.8,-3.4108,3.4108,320
9.9,-3.4465,3.4465,320
10.0,-3.48188,3.48188,320
10.1,-3.51599,3.51599,320
