angle_deg,cp_min,abs_cp_min,n_points
-1.0,-1.3673,1.3673,320
-0.75,-1.11611,1.11611,320
-0.5,-0.86705,0.86705,320
-0.25,-0.6056,0.6056,320
0.0,-0.61479,0.61479,320
0.1,-0.62962,0.62962,320
0.2,-0.64399,0.64399,320
0.3,-0.6598,0.6598,320
0.4,-0.67531,0.67531,320
0.5,-0.68782,0.68782,320
0.6,-0.70879,0.70879,320
0.7,-0.72932,0.72932,320
0.9,-0.76934,0.76934,320
1.0,-0.79238,0.79238,320
1.1,-0.81334,0.81334,320
1.2,-0.8342,0.8342,320
1.3,-0.85743,0.85743,320
1.4,-0.87751,0.87751,320
1.5,-0.89923,0.89923,320
1.6,-0.927,0.927,320
1.7,-0.95343,0.95343,320
1.8,-0.9807,0.9807,320
1.9,-1.01219,1.01219,320
2.0,-1.04356,1.04356,320
2.1,-1.08284,1.08284,320
2.2,-1.14733,1.14733,320
2.3,-1.20897,1.20897,320
2.4,-1.2812,1.2812,320
2.5,-1.3511,1.3511,320
2.6,-1.42166,1.42166,320
2.7,-1.49175,1.49175,320
2.8,-1.55867,1.55867,320
2.9,-1.62905,1.62905,320
3.0,-1.69443,1.69443,320
3.1,-1.76056,1.76056,320
3.2,-1.83543,1.83543,320
3.3,-1.91845,1.91845,320
3.4,-2.03181,2.03181,320
3.5,-2.1189,2.1189,320
3.6,-2.17943,2.17943,320
3.7,-2.29336,2.29336,320
3.8,-2.37635,2.37635,320
3.9,-2.49917,2.49917,320
4.0,-2.59343,2.59343,320
4.1,-2.67834,2.67834,320
4.2,-2.75702,2.75702,320
4.3,-2.84271,2.84271,320
4.4,-2.93374,2.93374,320
4.5,-2.99979,2.99979,320
4.6,-3.13178,3.13178,320
4.7,-3.16546,3.16546,320
4.8,-3.33551,3.33551,320
4.9,-3.42711,3.42711,320
5.0,-3.57593,3.57593,320
5.1,-3.60814,3.60814,320
5.2,-3.78207,3.78207,320
5.3,-3.91946,3.91946,320
5.4,-4.02811,4.02811,320
5.5,-4.10344,4.10344,320
5.6,-4.22507,4.22507,320
5.7,-4.34289,4.34289,320
5.8,-4.56963,4.56963,320
5.9,-4.8238,4.8238,320
6.0,-4.86694,4.86694,320
6.1,-5.00626,5.00626,320
6.2,-5.34151,5.34151,320
6.3,-5.56342,5.56342,320
6.4,-5.7019,5.7019,320
6.5,-5.97829,5.97829,320
6.6,-6.2411,6.2411,320
6.7,-6.16699,6.16699,320
6.8,-6.44996,6.44996,320
6.9,-6.80994,6.80994,320
7.0,-6.69365,6.69365,320
7.1,-7.016,7.016,320
7.2,-7.17044,7.17044,320
7.3,-7.65119,7.65119,320
7.4,-8.10186,8.10186,320
7.5,-8.03318,8.03318,320
7.6,-8.30254,8.30254,320
7.7,-8.71001,8.71001,320
7.8,-8.58871,8.58871,320
7.9,-9.2541,9.2541,320
8.0,-8.81091,8.81091,320
8.1,-9.36676,9.36676,319
8.2,-9.68202,9.68202,320
8.3,-9.76643,9.76643,320
8.4,-9.87818,9.87818,319
8.5,-9.56538,9.56538,319
8.6,-9.80135,9.80135,318
8.7,-9.88465,9.88465,318
8.8,-9.88507,9.88507,318
8.9,-9.74301,9.74301,317
9.0,-9.68727,9.68727,317
9.1,-9.83319,9.83319,317
9.2,-9.7898,9.7898,317
9.3,-9.67547,9.67547,316
9.4,-9.71617,9.71617,316
9.5,-9.45591,9.45591,316
9.6,-9.74821,9.74821,315
9.7,-9.69,9.69,314
9.8,-9.91803,9.91803,314
9.9,-9.80888,9.80888,315
10.0,-8.84815,8.84815,312
10.1,-9.957,9.957,314
10.2,-9.00365,9.00365,312
10.3,-9.99899,9.99899,313
10.4,-9.12734,9.12734,312
10.5,-9.12561,9.12561,312
