angle_deg,cp_min,abs_cp_min,n_points
-11.0,-1.49768,1.49768,320
-10.75,-1.52229,1.52229,320
-10.5,-1.49084,1.49084,320
-9.75,-1.75405,1.75405,320
-9.5,-1.80825,1.80825,320
-9.25,-1.87047,1.87047,320
-9.0,-1.89322,1.89322,320
-8.75,-1.93056,1.93056,320
-8.5,-1.97901,1.97901,320
-8.0,-2.12333,2.12333,320
-7.75,-2.25176,2.25176,320
-7.5,-2.30546,2.30546,320
-7.25,-2.36713,2.36713,320
-7.0,-2.43417,2.43417,320
-6.75,-2.50766,2.50766,320
-6.5,-2.59009,2.59009,320
-6.25,-2.6147,2.6147,320
-6.0,-2.60465,2.60465,320
-5.75,-2.62183,2.62183,320
-5.5,-2.66558,2.66558,320
-5.25,-2.61235,2.61235,320
-5.0,-2.58913,2.58913,320
-4.75,-2.47241,2.47241,320
-4.5,-2.36863,2.36863,320
-4.25,-2.26141,2.26141,320
-4.0,-2.1474,2.1474,320
-3.75,-2.03178,2.03178,320
-3.5,-1.90643,1.90643,320
-3.25,-1.78872,1.78872,320
-3.0,-1.66846,1.66846,320
-2.75,-1.5486,1.5486,320
-2.5,-1.42979,1.42979,320
-2.25,-1.31546,1.31546,320
-2.0,-1.20768,1.20768,320
-1.75,-1.10796,1.10796,320
-1.5,-1.01141,1.01141,320
-1.0,-0.84302,0.84302,320
-0.75,-0.74155,0.74155,320
-0.5,-0.65724,0.65724,320
-0.25,-0.63307,0.63307,320
0.0,-0.65528,0.65528,320
0.1,-0.66114,0.66114,320
0.2,-0.67197,0.67197,320
0.3,-0.67792,0.67792,320
0.4,-0.68844,0.68844,320
0.5,-0.69497,0.69497,320
0.6,-0.70562,0.70562,320
0.7,-0.71265,0.71265,320
0.8,-0.72278,0.72278,320
0.9,-0.7304,0.7304,320
1.0,-0.73979,0.73979,320
1.1,-0.74855,0.74855,320
1.2,-0.75715,0.75715,320
1.3,-0.76888,0.76888,320
1.4,-0.77497,0.77497,320
1.5,-0.78679,0.78679,320
1.6,-0.79299,0.79299,320
1.7,-0.80448,0.80448,320
1.8,-0.81187,0.81187,320
1.9,-0.82293,0.82293,320
2.0,-0.83127,0.83127,320
2.1,-0.84127,0.84127,320
2.2,-0.8519,0.8519,320
2.3,-0.85971,0.85971,320
2.4,-0.87256,0.87256,320
2.5,-0.87913,0.87913,320
2.6,-0.89159,0.89159,320
2.7,-0.89945,0.89945,320
2.8,-0.91118,0.91118,320
2.9,-0.92146,0.92146,320
3.0,-0.9312,0.9312,320
3.1,-0.94511,0.94511,320
3.2,-0.95159,0.95159,320
3.3,-0.96534,0.96534,320
3.4,-0.97383,0.97383,320
3.5,-0.98674,0.98674,320
3.6,-0.99799,0.99799,320
3.7,-1.00844,1.00844,320
3.8,-1.02398,1.02398,320
3.9,-1.03134,1.03134,320
4.0,-1.04636,1.04636,320
4.1,-1.05586,1.05586,320
4.2,-1.05546,1.05546,320
4.3,-1.08482,1.08482,320
4.4,-1.0961,1.0961,320
4.5,-1.1149,1.1149,320
4.6,-1.124,1.124,320
4.7,-1.1426,1.1426,320
4.8,-1.15569,1.15569,320
4.9,-1.15572,1.15572,320
5.0,-1.19698,1.19698,320
5.1,-1.21141,1.21141,320
5.2,-1.24056,1.24056,320
5.3,-1.25625,1.25625,320
5.4,-1.28643,1.28643,320
5.5,-1.30708,1.30708,320
5.6,-1.30533,1.30533,320
5.7,-1.36752,1.36752,320
5.8,-1.39144,1.39144,320
5.9,-1.43215,1.43215,320
6.0,-1.44944,1.44944,320
6.1,-1.49126,1.49126,320
6.2,-1.51217,1.51217,320
6.3,-1.55286,1.55286,320
6.4,-1.5793,1.5793,320
6.5,-1.61966,1.61966,320
6.6,-1.65288,1.65288,320
6.7,-1.68841,1.68841,320
6.8,-1.72936,1.72936,320
6.9,-1.75879,1.75879,320
7.0,-1.81186,1.81186,320
7.1,-1.83483,1.83483,320
7.2,-1.89334,1.89334,320
7.3,-1.91137,1.91137,320
7.4,-1.97058,1.97058,320
7.5,-1.99239,1.99239,320
7.6,-2.04479,2.04479,320
7.7,-2.07847,2.07847,320
7.8,-2.1211,2.1211,320
7.9,-2.16885,2.16885,320
8.0,-2.20443,2.20443,320
8.1,-2.2666,2.2666,320
8.2,-2.2893,2.2893,320
8.3,-2.3597,2.3597,320
8.4,-2.38708,2.38708,320
8.5,-2.42538,2.42538,320
8.6,-2.50288,2.50288,320
8.7,-2.5232,2.5232,320
8.8,-2.56664,2.56664,320
8.9,-2.6436,2.6436,320
9.0,-2.66324,2.66324,320
9.1,-2.69524,2.69524,320
9.2,-2.75109,2.75109,320
9.3,-2.81786,2.81786,320
9.4,-2.83199,2.83199,320
9.5,-2.86197,2.86197,320
9.6,-2.90454,2.90454,320
9.7,-2.95114,2.95114,320
9.8,-2.99793,2.99793,320
9.9,-3.03028,3.03028,320
10.0,-3.05511,3.05511,320
10.1,-3.08549,3.08549,320
10.2,-3.11957,3.11957,320
10.3,-3.15428,3.15428,320
10.4,-3.1884,3.1884,320
10.5,-3.22184,3.22184,320
10.6,-3.25401,3.25401,320
10.7,-3.28767,3.28767,320
10.8,-3.32018,3.32018,320
10.9,-3.35157,3.35157,320
11.0,-3.38245,3.38245,320
11.1,-3.41346,3.41346,320
11.2,-3.44774,3.44774,320
