angle_deg,cp_min,abs_cp_min,n_points
-15.0,-5.29248,5.29248,320
-14.75,-5.19688,5.19688,320
-14.5,-5.10863,5.10863,320
-14.25,-5.01798,5.01798,320
-14.0,-4.92191,4.92191,320
-13.75,-4.81988,4.81988,320
-13.5,-4.71942,4.71942,320
-13.25,-4.62124,4.62124,320
-13.0,-4.52485,4.52485,320
-12.75,-4.42803,4.42803,320
-12.5,-4.32687,4.32687,320
-12.25,-4.22658,4.22658,320
-12.0,-4.13163,4.13163,320
-11.75,-4.03194,4.03194,320
-11.25,-3.84678,3.84678,320
-11.0,-3.76296,3.76296,320
-10.75,-3.68784,3.68784,320
-10.5,-3.61813,3.61813,320
-10.25,-3.53847,3.53847,320
-10.0,-3.41018,3.41018,320
-9.75,-3.28526,3.28526,320
-9.5,-3.16402,3.16402,320
-9.25,-3.04334,3.04334,320
-9.0,-2.92791,2.92791,320
-8.75,-2.81509,2.81509,320
-8.5,-2.70674,2.70674,320
-8.25,-2.60178,2.60178,320
-8.0,-2.50242,2.50242,320
-7.5,-2.31097,2.31097,320
-7.25,-2.2221,2.2221,320
-7.0,-2.13495,2.13495,320
-6.75,-2.0524,2.0524,320
-6.5,-1.97029,1.97029,320
-6.25,-1.89023,1.89023,320
-5.75,-1.74235,1.74235,320
-5.5,-1.66981,1.66981,320
-5.25,-1.60102,1.60102,320
-5.0,-1.5323,1.5323,320
-4.75,-1.46841,1.46841,320
-4.5,-1.4055,1.4055,320
-4.25,-1.34433,1.34433,320
-4.0,-1.28654,1.28654,320
-3.5,-1.17731,1.17731,320
-3.25,-1.12592,1.12592,320
-3.0,-1.07625,1.07625,320
-2.75,-1.0289,1.0289,320
-2.5,-0.98455,0.98455,320
-2.25,-0.94047,0.94047,320
-2.0,-0.89849,0.89849,320
-1.75,-0.8597,0.8597,320
-1.5,-0.82154,0.82154,320
-1.0,-0.75024,0.75024,320
-0.75,-0.71651,0.71651,320
-0.5,-0.68471,0.68471,320
-0.25,-0.65372,0.65372,320
0.0,-0.62493,0.62493,320
0.1,-0.63616,0.63616,320
0.2,-0.64871,0.64871,320
0.3,-0.661,0.661,320
0.4,-0.67354,0.67354,320
0.5,-0.68582,0.68582,320
0.6,-0.69811,0.69811,320
0.8,-0.72365,0.72365,320
0.9,-0.73696,0.73696,320
1.0,-0.75031,0.75031,320
1.1,-0.76416,0.76416,320
1.2,-0.77816,0.77816,320
1.3,-0.79234,0.79234,320
1.4,-0.80672,0.80672,320
1.5,-0.8213,0.8213,320
1.6,-0.8357,0.8357,320
1.8,-0.86758,0.86758,320
1.9,-0.88334,0.88334,320
2.0,-0.89925,0.89925,320
2.1,-0.91559,0.91559,320
2.2,-0.9322,0.9322,320
2.3,-0.9492,0.9492,320
2.4,-0.96586,0.96586,320
2.5,-0.98419,0.98419,320
2.6,-1.00211,1.00211,320
2.7,-1.02011,1.02011,320
2.8,-1.03883,1.03883,320
2.9,-1.05734,1.05734,320
3.0,-1.07573,1.07573,320
3.1,-1.09536,1.09536,320
3.2,-1.11576,1.11576,320
3.3,-1.13617,1.13617,320
3.4,-1.15638,1.15638,320
3.5,-1.17831,1.17831,320
3.6,-1.19904,1.19904,320
3.7,-1.22045,1.22045,320
3.8,-1.24246,1.24246,320
3.9,-1.2647,1.2647,320
4.0,-1.28787,1.28787,320
4.1,-1.31011,1.31011,320
4.2,-1.33382,1.33382,320
4.3,-1.35798,1.35798,320
4.4,-1.38184,1.38184,320
4.5,-1.40647,1.40647,320
4.6,-1.43055,1.43055,320
4.7,-1.45554,1.45554,320
4.8,-1.48069,1.48069,320
4.9,-1.50601,1.50601,320
5.0,-1.53167,1.53167,320
5.1,-1.55877,1.55877,320
5.2,-1.58588,1.58588,320
5.3,-1.61363,1.61363,320
5.4,-1.64092,1.64092,320
5.5,-1.66887,1.66887,320
5.6,-1.69791,1.69791,320
5.7,-1.7275,1.7275,320
5.8,-1.75612,1.75612,320
5.9,-1.78607,1.78607,320
6.0,-1.81563,1.81563,320
6.1,-1.84609,1.84609,320
