angle_deg,cp_min,abs_cp_min,n_points
-14.75,-4.32393,4.32393,320
-14.5,-4.26573,4.26573,320
-14.25,-4.21648,4.21648,320
-14.0,-4.15786,4.15786,320
-13.75,-4.10024,4.10024,320
-13.5,-4.0384,4.0384,320
-13.25,-3.97632,3.97632,320
-13.0,-3.91191,3.91191,320
-12.75,-3.84628,3.84628,320
-12.5,-3.77957,3.77957,320
-12.25,-3.71182,3.71182,320
-12.0,-3.6417,3.6417,320
-11.5,-3.50405,3.50405,320
-11.25,-3.43214,3.43214,320
-11.0,-3.36182,3.36182,320
-10.75,-3.29115,3.29115,320
-10.5,-3.22292,3.22292,320
-10.25,-3.15632,3.15632,320
-10.0,-3.09352,3.09352,320
-9.75,-3.03405,3.03405,320
-9.5,-2.97606,2.97606,320
-9.25,-2.91289,2.91289,320
-9.0,-2.84905,2.84905,320
-8.75,-2.78488,2.78488,320
-8.5,-2.71993,2.71993,320
-8.25,-2.65607,2.65607,320
-8.0,-2.59271,2.59271,320
-7.75,-2.52874,2.52874,320
-7.5,-2.46309,2.46309,320
-7.25,-2.39653,2.39653,320
-7.0,-2.33232,2.33232,320
-6.75,-2.23304,2.23304,320
-6.5,-2.13382,2.13382,320
-6.25,-2.03535,2.03535,320
-6.0,-1.9418,1.9418,320
-5.75,-1.85354,1.85354,320
-5.5,-1.76665,1.76665,320
-5.25,-1.68272,1.68272,320
-5.0,-1.6024,1.6024,320
-4.75,-1.52431,1.52431,320
-4.5,-1.45134,1.45134,320
-4.25,-1.38245,1.38245,320
-4.0,-1.31788,1.31788,320
-3.75,-1.2547,1.2547,320
-3.5,-1.19592,1.19592,320
-3.25,-1.14129,1.14129,320
-3.0,-1.08702,1.08702,320
-2.75,-1.0373,1.0373,320
-2.5,-0.9904,0.9904,320
-2.25,-0.94457,0.94457,320
-2.0,-0.90072,0.90072,320
-1.75,-0.86017,0.86017,320
-1.5,-0.82136,0.82136,320
-1.25,-0.78386,0.78386,320
-1.0,-0.74786,0.74786,320
-0.75,-0.714,0.714,320
-0.5,-0.68165,0.68165,320
-0.25,-0.64982,0.64982,320
0.0,-0.62034,0.62034,320
0.1,-0.63183,0.63183,320
0.2,-0.64424,0.64424,320
0.3,-0.65699,0.65699,320
0.4,-0.6693,0.6693,320
0.5,-0.68238,0.68238,320
0.6,-0.69435,0.69435,320
0.7,-0.70797,0.70797,320
0.8,-0.72053,0.72053,320
0.9,-0.73498,0.73498,320
1.0,-0.74788,0.74788,320
1.1,-0.76256,0.76256,320
1.3,-0.7915,0.7915,320
1.4,-0.80569,0.80569,320
1.5,-0.82109,0.82109,320
1.6,-0.83572,0.83572,320
1.7,-0.85264,0.85264,320
1.8,-0.86832,0.86832,320
1.9,-0.8851,0.8851,320
2.0,-0.90119,0.90119,320
2.1,-0.9186,0.9186,320
2.2,-0.93527,0.93527,320
2.3,-0.95358,0.95358,320
2.4,-0.97056,0.97056,320
2.5,-0.99025,0.99025,320
2.6,-1.00817,1.00817,320
2.7,-1.02813,1.02813,320
2.8,-1.04676,1.04676,320
2.9,-1.06762,1.06762,320
3.0,-1.08675,1.08675,320
3.1,-1.10872,1.10872,320
3.2,-1.12924,1.12924,320
3.3,-1.15206,1.15206,320
3.5,-1.197,1.197,320
3.6,-1.22013,1.22013,320
3.7,-1.24214,1.24214,320
3.8,-1.26819,1.26819,320
3.9,-1.29169,1.29169,320
4.0,-1.3181,1.3181,320
4.1,-1.34348,1.34348,320
4.2,-1.36845,1.36845,320
4.3,-1.39742,1.39742,320
4.4,-1.42367,1.42367,320
4.5,-1.45084,1.45084,320
4.6,-1.48026,1.48026,320
4.7,-1.50988,1.50988,320
4.8,-1.53836,1.53836,320
4.9,-1.57043,1.57043,320
5.0,-1.60147,1.60147,320
5.1,-1.63305,1.63305,320
5.2,-1.66503,1.66503,320
5.3,-1.69867,1.69867,320
5.4,-1.73168,1.73168,320
5.5,-1.76688,1.76688,320
5.6,-1.80137,1.80137,320
5.7,-1.83581,1.83581,320
5.8,-1.87053,1.87053,320
5.9,-1.9066,1.9066,320
6.0,-1.94231,1.94231,320
6.1,-1.97931,1.97931,320
6.2,-2.01663,2.01663,320
6.3,-2.05486,2.05486,320
6.4,-2.09391,2.09391,320
6.5,-2.13402,2.13402,320
6.6,-2.17323,2.17323,320
6.7,-2.21374,2.21374,320
6.8,-2.25513,2.25513,320
6.9,-2.29628,2.29628,320
7.0,-2.33328,2.33328,320
7.1,-2.35804,2.35804,320
7.2,-2.38483,2.38483,320
7.3,-2.4101,2.4101,320
7.4,-2.43553,2.43553,320
7.5,-2.46157,2.46157,320
7.6,-2.48697,2.48697,320
7.7,-2.51375,2.51375,320
7.8,-2.54038,2.54038,320
7.9,-2.56588,2.56588,320
8.0,-2.59296,2.59296,320
8.1,-2.61905,2.61905,320
8.2,-2.64596,2.64596,320
8.3,-2.67121,2.67121,320
8.4,-2.69681,2.69681,320
8.5,-2.72176,2.72176,320
8.6,-2.74849,2.74849,320
8.7,-2.77361,2.77361,320
8.8,-2.79957,2.79957,320
8.9,-2.82359,2.82359,320
9.0,-2.84839,2.84839,320
9.1,-2.8732,2.8732,320
9.2,-2.89914,2.89914,320
9.3,-2.92303,2.92303,320
9.4,-2.94976,2.94976,320
9.5,-2.97373,2.97373,320
9.6,-2.99776,2.99776,320
9.7,-3.02122,3.02122,320
9.8,-3.04551,3.04551,320
9.9,-3.0692,3.0692,320
10.0,-3.09325,3.09325,320
10.1,-3.11767,3.11767,320
10.2,-3.14293,3.14293,320
10.3,-3.16937,3.16937,320
10.4,-3.19493,3.19493,320
10.5,-3.22328,3.22328,320
10.6,-3.24993,3.24993,320
10.7,-3.27744,3.27744,320
10.8,-3.30409,3.30409,320
10.9,-3.33327,3.33327,320
11.0,-3.361,3.361,320
11.1,-3.38934,3.38934,320
11.2,-3.41665,3.41665,320
11.3,-3.44537,3.44537,320
11.4,-3.47325,3.47325,320
11.5,-3.50099,3.50099,320
11.6,-3.5298,3.5298,320
11.7,-3.55825,3.55825,320
11.8,-3.58603,3.58603,320
11.9,-3.61506,3.61506,320
12.0,-3.64293,3.64293,320
12.1,-3.67226,3.67226,320
12.2,-3.70008,3.70008,320
12.3,-3.72986,3.72986,320
12.4,-3.75415,3.75415,320
12.5,-3.77907,3.77907,320
12.6,-3.80917,3.80917,320
12.7,-3.83822,3.83822,320
12.8,-3.86222,3.86222,320
12.9,-3.88831,3.88831,320
13.0,-3.91461,3.91461,320
13.1,-3.94335,3.94335,320
13.2,-3.96808,3.96808,320
13.3,-3.99122,3.99122,320
13.4,-4.01621,4.01621,320
13.5,-4.04305,4.04305,320
13.6,-4.06796,4.06796,320
13.7,-4.09104,4.09104,320
13.8,-4.1144,4.1144,320
13.9,-4.13772,4.13772,320
14.0,-4.16101,4.16101,320
14.1,-4.18914,4.18914,320
14.2,-4.21032,4.21032,320
14.3,-4.22817,4.22817,320
14.4,-4.24688,4.24688,320
14.5,-4.26964,4.26964,320
14.6,-4.29208,4.29208,320
14.7,-4.31847,4.31847,320
14.8,-4.33008,4.33008,320
14.9,-4.34528,4.34528,320
