angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.45979,1.45979,320
-14.75,-1.34211,1.34211,320
-14.5,-1.42648,1.42648,320
-14.25,-1.33142,1.33142,320
-14.0,-1.29309,1.29309,320
-13.75,-1.35381,1.35381,320
-13.5,-1.43455,1.43455,320
-13.25,-1.33808,1.33808,320
-13.0,-1.45766,1.45766,320
-12.75,-1.49335,1.49335,320
-12.5,-1.44193,1.44193,320
-12.25,-1.56282,1.56282,320
-12.0,-1.61063,1.61063,320
-11.75,-1.37672,1.37672,320
-11.5,-1.40853,1.40853,320
-11.25,-1.38124,1.38124,320
-11.0,-1.3554,1.3554,320
-10.75,-1.51897,1.51897,320
-10.5,-1.50482,1.50482,320
-10.25,-1.43782,1.43782,320
-10.0,-1.40521,1.40521,320
-9.75,-1.34491,1.34491,320
-9.5,-1.48908,1.48908,320
-9.25,-1.33907,1.33907,320
-9.0,-1.4814,1.4814,320
-8.75,-1.58173,1.58173,320
-8.5,-1.32111,1.32111,320
-8.25,-1.51504,1.51504,320
-8.0,-1.3811,1.3811,320
-7.75,-1.60973,1.60973,320
-7.5,-1.31182,1.31182,320
-7.25,-1.47142,1.47142,320
-7.0,-1.48049,1.48049,320
-6.75,-1.45028,1.45028,320
-6.5,-1.48633,1.48633,320
-6.25,-1.45864,1.45864,320
-6.0,-1.68455,1.68455,320
-5.75,-1.49754,1.49754,320
-5.5,-1.57753,1.57753,320
-5.25,-1.61093,1.61093,320
-5.0,-1.4939,1.4939,320
-4.75,-1.47563,1.47563,320
-4.5,-1.52573,1.52573,320
-4.25,-1.63508,1.63508,320
-4.0,-1.48785,1.48785,320
-3.75,-1.5331,1.5331,320
-3.5,-1.50233,1.50233,320
-3.25,-1.4986,1.4986,320
-3.0,-1.42233,1.42233,320
-2.75,-1.40639,1.40639,320
-2.5,-1.44035,1.44035,320
-2.25,-1.28831,1.28831,320
-2.0,-1.86931,1.86931,320
-1.75,-2.17724,2.17724,320
-1.5,-1.96009,1.96009,320
-1.25,-1.88995,1.88995,320
-1.0,-1.79708,1.79708,320
-0.75,-1.68993,1.68993,320
-0.5,-1.50123,1.50123,320
-0.25,-1.45414,1.45414,320
0.0,-1.06501,1.06501,320
0.1,-0.9695,0.9695,320
0.2,-0.81942,0.81942,320
0.4,-0.67002,0.67002,320
0.5,-0.56466,0.56466,320
0.6,-0.57823,0.57823,320
0.7,-0.58712,0.58712,320
0.8,-0.60474,0.60474,320
0.9,-0.61285,0.61285,320
1.0,-0.63119,0.63119,320
1.1,-0.64444,0.64444,320
1.2,-0.66332,0.66332,320
1.3,-0.66985,0.66985,320
1.4,-0.69254,0.69254,320
1.5,-0.71027,0.71027,320
1.7,-0.74675,0.74675,320
1.8,-0.7642,0.7642,320
1.9,-0.78438,0.78438,320
2.0,-0.81174,0.81174,320
2.1,-0.82985,0.82985,320
2.2,-0.8617,0.8617,320
2.3,-0.87883,0.87883,320
2.5,-0.9487,0.9487,320
2.6,-0.98236,0.98236,320
2.7,-1.01351,1.01351,320
2.8,-1.05052,1.05052,320
2.9,-1.10886,1.10886,320
3.0,-1.18991,1.18991,320
3.1,-1.27611,1.27611,320
3.2,-1.36066,1.36066,320
3.3,-1.44962,1.44962,320
3.4,-1.54579,1.54579,320
3.5,-1.64175,1.64175,320
3.6,-1.74748,1.74748,320
3.7,-1.85759,1.85759,320
3.8,-1.97013,1.97013,320
3.9,-2.10464,2.10464,320
4.0,-2.23382,2.23382,320
4.1,-2.35948,2.35948,320
4.2,-2.47184,2.47184,320
4.3,-2.5785,2.5785,320
4.4,-2.67783,2.67783,320
4.5,-2.76789,2.76789,320
4.6,-2.86727,2.86727,320
4.7,-2.93288,2.93288,320
4.8,-3.02731,3.02731,320
4.9,-3.1177,3.1177,320
5.0,-3.1697,3.1697,320
5.1,-3.2485,3.2485,320
5.2,-3.33315,3.33315,320
5.3,-3.4149,3.4149,320
5.4,-3.4846,3.4846,320
5.5,-3.55132,3.55132,320
5.6,-3.62204,3.62204,320
5.7,-3.69091,3.69091,320
5.8,-3.75478,3.75478,320
5.9,-3.86819,3.86819,320
6.0,-3.9323,3.9323,320
6.1,-3.99751,3.99751,320
6.2,-4.12732,4.12732,320
6.3,-4.25214,4.25214,320
6.4,-4.33928,4.33928,320
6.5,-4.42596,4.42596,320
6.6,-4.65097,4.65097,320
6.7,-4.69398,4.69398,320
6.8,-4.81738,4.81738,320
6.9,-4.99209,4.99209,320
7.0,-5.11456,5.11456,320
7.1,-5.20423,5.20423,320
7.2,-5.38003,5.38003,320
7.3,-5.71452,5.71452,320
7.4,-5.92367,5.92367,320
7.5,-5.83571,5.83571,320
7.6,-6.02582,6.02582,320
7.7,-6.39075,6.39075,320
7.8,-6.38636,6.38636,320
7.9,-6.68311,6.68311,320
8.0,-6.43614,6.43614,320
8.1,-7.15761,7.15761,320
8.2,-6.99991,6.99991,320
8.3,-6.97002,6.97002,320
8.4,-7.10969,7.10969,320
8.5,-7.10822,7.10822,320
8.6,-7.0425,7.0425,320
8.7,-7.15517,7.15517,320
8.8,-7.2585,7.2585,320
8.9,-7.02023,7.02023,320
9.0,-7.32219,7.32219,320
9.1,-7.51336,7.51336,320
9.2,-7.25928,7.25928,320
9.3,-7.39661,7.39661,320
9.4,-7.22925,7.22925,320
9.5,-7.16566,7.16566,320
9.6,-7.37533,7.37533,320
9.7,-7.92539,7.92539,320
9.8,-6.98571,6.98571,320
9.9,-7.54556,7.54556,320
10.0,-8.03549,8.03549,320
10.1,-7.65939,7.65939,320
10.2,-7.69892,7.69892,320
10.3,-7.18873,7.18873,320
10.4,-7.85256,7.85256,320
10.6,-7.20374,7.20374,320
10.7,-7.10356,7.10356,320
10.8,-7.80941,7.80941,320
10.9,-7.11737,7.11737,320
11.0,-7.66872,7.66872,320
11.1,-6.7689,6.7689,320
11.2,-7.4561,7.4561,320
11.3,-7.47851,7.47851,320
11.4,-6.75459,6.75459,320
11.5,-6.70481,6.70481,320
11.6,-6.70964,6.70964,320
11.7,-6.85241,6.85241,320
