Angle of Attack (deg),C_L,C_D
0.0,0.003,0.01
0.93,0.086,0.007
1.87,0.172,0.009
3.12,0.309,0.011
4.05,0.467,0.019
4.99,0.638,0.022
5.92,0.739,0.024
6.86,0.808,0.025
8.1,0.873,0.024
9.04,0.908,0.022
9.97,0.944,0.022
10.91,0.978,0.021
12.15,1.007,0.043
13.09,0.466,0.127
14.02,0.455,0.137
14.96,0.495,0.151
15.89,0.54,0.17
17.14,0.6,0.197
18.07,0.616,0.22
19.01,0.624,0.237
19.94,0.669,0.271
