Angle of Attack (deg),C_L,C_D
0.0,0.003,0.016
0.93,0.056,0.017
1.87,0.14,0.018
3.12,0.301,0.021
4.05,0.47,0.022
4.99,0.613,0.025
5.92,0.668,0.027
6.86,0.726,0.03
8.1,0.784,0.032
9.04,0.821,0.035
9.97,0.867,0.042
10.91,0.916,0.054
12.15,0.961,0.067
13.09,0.481,0.098
14.02,0.48,0.114
14.96,0.47,0.129
15.89,0.515,0.141
17.14,0.409,0.159
18.07,0.563,0.175
19.01,0.587,0.196
19.94,0.588,0.214
