rpm,T
0,0.0
525.1215559157213,0.056795131845841784
2348.4602917341977,0.1947261663286004
2888.168557536467,0.2920892494929006
3340.356564019449,0.41379310344827586
3734.19773095624,0.5192697768762677
4091.572123176661,0.6409736308316429
4441.653160453809,0.7545638945233266
4733.387358184765,0.8762677484787018
5003.2414910859,0.9817444219066938
5236.628849270664,1.0953346855983772
5477.309562398704,1.2170385395537524
5688.816855753646,1.3144016227180528
5871.150729335494,1.436105476673428
6060.777957860616,1.5172413793103448
6235.818476499189,1.6308316430020284
6410.8589951377635,1.695740365111562
6556.726094003241,1.8336713995943206
6768.233387358185,1.9553752535496958
6972.447325769854,2.0689655172413794
7132.90113452188,2.206896551724138
7402.755267423015,2.393509127789047
7709.076175040519,2.636916835699797
7986.223662884927,2.839756592292089
8277.957860615883,3.075050709939148
8584.278768233387,3.367139959432049
8671.799027552674,3.464503042596349
8905.18638573744,3.6267748478701827
