angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.35685,1.35685,200
-14.75,-1.35204,1.35204,200
-14.5,-1.37672,1.37672,200
-14.25,-1.34497,1.34497,200
-14.0,-1.34611,1.34611,200
-13.75,-1.36956,1.36956,200
-13.5,-1.33045,1.33045,200
-13.25,-1.3382,1.3382,200
-13.0,-1.33595,1.33595,200
-12.75,-1.32188,1.32188,200
-12.5,-1.3511,1.3511,200
-12.25,-1.3194,1.3194,200
-12.0,-1.33957,1.33957,200
-11.75,-1.32446,1.32446,200
-11.5,-1.3237,1.3237,200
-11.25,-1.33474,1.33474,200
-11.0,-1.31479,1.31479,200
-10.75,-1.34122,1.34122,200
-10.5,-1.30863,1.30863,200
-10.25,-1.3162,1.3162,200
-10.0,-1.33677,1.33677,200
-9.75,-1.54088,1.54088,200
-9.5,-1.58908,1.58908,200
-9.25,-1.6797,1.6797,200
-9.0,-1.67791,1.67791,200
-8.75,-1.69425,1.69425,200
-8.5,-1.72044,1.72044,200
-8.25,-1.7568,1.7568,200
-8.0,-1.80784,1.80784,200
-7.75,-1.90384,1.90384,200
-7.5,-1.92817,1.92817,200
-7.25,-1.95693,1.95693,200
-7.0,-1.98951,1.98951,200
-6.75,-2.0225,2.0225,200
-6.5,-2.05482,2.05482,200
-6.25,-2.08805,2.08805,200
-6.0,-2.12682,2.12682,200
-5.75,-2.10063,2.10063,200
-5.5,-2.09703,2.09703,200
-5.25,-2.10289,2.10289,200
-5.0,-2.11204,2.11204,200
-4.75,-2.11857,2.11857,200
-4.5,-2.06593,2.06593,200
-4.25,-2.04404,2.04404,200
-4.0,-1.99891,1.99891,200
-3.75,-1.9649,1.9649,200
-3.5,-1.89773,1.89773,200
-3.25,-1.83434,1.83434,200
-3.0,-1.76712,1.76712,200
-2.75,-1.70013,1.70013,200
-2.5,-1.62969,1.62969,200
-2.25,-1.55805,1.55805,200
-2.0,-1.48356,1.48356,200
-1.75,-1.41305,1.41305,200
-1.5,-1.34145,1.34145,200
-1.25,-1.24789,1.24789,200
-1.0,-1.15523,1.15523,200
-0.75,-1.08268,1.08268,200
-0.5,-0.98934,0.98934,200
-0.25,-0.89323,0.89323,200
0.0,-0.80321,0.80321,200
0.25,-0.71899,0.71899,200
0.5,-0.64163,0.64163,200
0.75,-0.57115,0.57115,200
1.0,-0.58022,0.58022,200
1.25,-0.59837,0.59837,200
1.5,-0.61709,0.61709,200
1.75,-0.63757,0.63757,200
2.0,-0.65731,0.65731,200
2.25,-0.67344,0.67344,200
2.5,-0.6906,0.6906,200
2.75,-0.70946,0.70946,200
3.0,-0.73234,0.73234,200
3.25,-0.75077,0.75077,200
3.5,-0.76752,0.76752,200
3.75,-0.78681,0.78681,200
4.0,-0.81079,0.81079,200
4.25,-0.83222,0.83222,200
4.5,-0.84987,0.84987,200
4.75,-0.87075,0.87075,200
5.0,-0.89854,0.89854,200
5.25,-0.92426,0.92426,200
5.5,-0.94499,0.94499,200
5.75,-0.97042,0.97042,200
6.0,-1.00427,1.00427,200
6.25,-1.04478,1.04478,200
6.5,-1.07307,1.07307,200
6.75,-1.10815,1.10815,200
7.0,-1.15041,1.15041,200
7.25,-1.20302,1.20302,200
7.75,-1.30473,1.30473,200
8.0,-1.34913,1.34913,200
8.25,-1.39794,1.39794,200
8.5,-1.44898,1.44898,200
8.75,-1.50181,1.50181,200
9.0,-1.5574,1.5574,200
9.25,-1.61499,1.61499,200
9.5,-1.66977,1.66977,200
9.75,-1.72586,1.72586,200
10.0,-1.78153,1.78153,200
10.25,-1.83638,1.83638,200
10.5,-1.90064,1.90064,200
10.75,-1.97562,1.97562,200
11.0,-2.03512,2.03512,200
11.25,-2.05836,2.05836,200
11.5,-2.09492,2.09492,200
11.75,-2.15581,2.15581,200
12.0,-2.23882,2.23882,200
12.25,-2.24346,2.24346,200
12.5,-2.26165,2.26165,200
12.75,-2.28697,2.28697,200
13.0,-2.31481,2.31481,200
13.25,-2.33241,2.33241,200
13.5,-2.34689,2.34689,200
13.75,-2.35822,2.35822,200
14.0,-2.38335,2.38335,200
14.25,-2.42964,2.42964,200
14.5,-2.37023,2.37023,200
14.75,-2.37798,2.37798,200
15.0,-2.40639,2.40639,200
15.25,-2.35049,2.35049,200
15.5,-2.37348,2.37348,200
15.75,-2.33994,2.33994,200
16.0,-2.31768,2.31768,200
16.25,-2.35022,2.35022,200
16.5,-2.29844,2.29844,200
16.75,-2.28007,2.28007,200
17.0,-2.32529,2.32529,200
17.25,-2.27376,2.27376,200
17.5,-2.24018,2.24018,200
17.75,-2.22248,2.22248,200
18.0,-2.22057,2.22057,200
18.25,-2.24802,2.24802,200
18.5,-2.22886,2.22886,200
18.75,-2.20127,2.20127,200
19.0,-2.17936,2.17936,200
19.25,-2.16008,2.16008,200
19.5,-2.14991,2.14991,200
19.75,-2.14249,2.14249,200
20.0,-2.14756,2.14756,200
20.5,-2.02596,2.02596,200
20.75,-1.12918,1.12918,200
21.0,-1.1159,1.1159,200
21.25,-1.11454,1.11454,200
21.5,-1.13422,1.13422,200
21.75,-1.1123,1.1123,200
22.0,-1.10151,1.10151,200
22.25,-1.1105,1.1105,200
22.5,-1.11529,1.11529,200
22.75,-1.09959,1.09959,200
23.0,-1.09607,1.09607,200
23.25,-1.11822,1.11822,200
23.5,-1.09894,1.09894,200
23.75,-1.08696,1.08696,200
24.0,-1.09271,1.09271,200
24.25,-1.09855,1.09855,200
24.5,-1.08435,1.08435,200
24.75,-1.08078,1.08078,200
25.0,-1.09805,1.09805,200
25.25,-1.08867,1.08867,200
25.5,-1.07303,1.07303,200
25.75,-1.07254,1.07254,200
26.25,-1.08093,1.08093,200
26.5,-1.07066,1.07066,200
26.75,-1.07225,1.07225,200
27.0,-1.09508,1.09508,200
27.25,-1.07672,1.07672,200
27.5,-1.06204,1.06204,200
27.75,-1.06057,1.06057,200
28.0,-1.07177,1.07177,200
28.25,-1.07504,1.07504,200
28.5,-1.05882,1.05882,200
28.75,-1.05483,1.05483,200
29.0,-1.05938,1.05938,200
29.25,-1.08276,1.08276,200
29.5,-1.06121,1.06121,200
29.75,-1.04944,1.04944,200
30.0,-1.0427,1.0427,200
