Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca4412-il-20000-n5
Airfoil,naca4412-il
Reynolds number,20000
Ncrit,5
Mach,0.0
Max Cl/Cd,10.0702
Max Cl/Cd alpha,6.25


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.4260,0.19039,0.17775,-0.0159,1.0000,0.2126
-14.750,-0.4191,0.18758,0.17496,-0.0168,1.0000,0.2190
-14.500,-0.4213,0.18735,0.17479,-0.0181,1.0000,0.2226
-14.250,-0.4058,0.18143,0.16887,-0.0186,1.0000,0.2282
-14.000,-0.4019,0.17930,0.16677,-0.0195,1.0000,0.2349
-13.750,-0.4046,0.17868,0.16625,-0.0206,1.0000,0.2377
-13.500,-0.3871,0.17254,0.16008,-0.0209,1.0000,0.2442
-13.250,-0.3862,0.17092,0.15849,-0.0217,1.0000,0.2504
-13.000,-0.3813,0.16787,0.15551,-0.0225,1.0000,0.2541
-12.750,-0.3712,0.16403,0.15166,-0.0228,1.0000,0.2624
-12.500,-0.3770,0.16356,0.15128,-0.0236,1.0000,0.2668
-12.250,-0.3599,0.15790,0.14562,-0.0237,1.0000,0.2746
-12.000,-0.3635,0.15678,0.14457,-0.0243,1.0000,0.2809
-11.750,-0.3524,0.15236,0.14018,-0.0246,1.0000,0.2857
-11.500,-0.3488,0.14978,0.13764,-0.0248,1.0000,0.2937
-11.250,-0.3491,0.14751,0.13546,-0.0252,1.0000,0.2978
-11.000,-0.3383,0.14357,0.13152,-0.0252,1.0000,0.3068
-10.750,-0.3464,0.14267,0.13073,-0.0254,1.0000,0.3113
-10.500,-0.3301,0.13758,0.12565,-0.0254,1.0000,0.3177
-10.250,-0.3300,0.13526,0.12340,-0.0255,1.0000,0.3231
-10.000,-0.3339,0.13333,0.12156,-0.0256,1.0000,0.3253
-9.750,-0.3397,0.12587,0.11403,-0.0355,1.0000,0.1862
-9.500,-0.3418,0.12243,0.11066,-0.0366,1.0000,0.1742
-9.250,-0.3566,0.11983,0.10821,-0.0383,1.0000,0.1655
-9.000,-0.3519,0.11638,0.10483,-0.0379,1.0000,0.1634
-8.750,-0.3528,0.11332,0.10187,-0.0376,1.0000,0.1615
-8.500,-0.3571,0.11042,0.09909,-0.0374,1.0000,0.1595
-8.250,-0.3650,0.10766,0.09646,-0.0370,1.0000,0.1573
-8.000,-0.3771,0.10494,0.09391,-0.0368,1.0000,0.1552
-7.750,-0.3950,0.10172,0.09084,-0.0384,1.0000,0.1518
-7.500,-0.3997,0.09860,0.08781,-0.0383,1.0000,0.1514
-7.250,-0.4050,0.09544,0.08474,-0.0382,1.0000,0.1511
-7.000,-0.4107,0.09221,0.08158,-0.0383,1.0000,0.1510
-6.750,-0.4161,0.08887,0.07828,-0.0385,1.0000,0.1511
-6.500,-0.4203,0.08540,0.07483,-0.0390,1.0000,0.1512
-6.250,-0.4228,0.08178,0.07118,-0.0397,1.0000,0.1514
-6.000,-0.4235,0.07796,0.06731,-0.0408,1.0000,0.1521
-5.750,-0.4176,0.07526,0.06462,-0.0398,1.0000,0.1546
-5.500,-0.4120,0.07208,0.06134,-0.0400,1.0000,0.1571
-5.250,-0.4046,0.06859,0.05768,-0.0411,1.0000,0.1596
-5.000,-0.3941,0.06480,0.05362,-0.0429,1.0000,0.1627
-4.750,-0.3798,0.06093,0.04937,-0.0452,1.0000,0.1665
-4.500,-0.3650,0.05863,0.04696,-0.0450,1.0000,0.1716
-4.250,-0.3453,0.05544,0.04329,-0.0471,1.0000,0.1780
-4.000,-0.3269,0.05318,0.04077,-0.0475,1.0000,0.1847
-3.750,-0.3038,0.05063,0.03763,-0.0493,1.0000,0.1937
-3.500,-0.2836,0.04904,0.03587,-0.0493,1.0000,0.2029
-3.250,-0.2605,0.04737,0.03383,-0.0500,1.0000,0.2143
-3.000,-0.2361,0.04592,0.03199,-0.0508,1.0000,0.2274
-2.750,-0.2124,0.04474,0.03052,-0.0513,1.0000,0.2428
-2.500,-0.1888,0.04373,0.02926,-0.0516,1.0000,0.2605
-2.250,-0.1644,0.04284,0.02804,-0.0521,1.0000,0.2818
-2.000,-0.1425,0.04212,0.02728,-0.0521,1.0000,0.3050
-1.750,-0.1200,0.04147,0.02657,-0.0522,1.0000,0.3338
-1.500,-0.0973,0.04089,0.02595,-0.0523,1.0000,0.3695
-1.250,-0.0632,0.04025,0.02560,-0.0543,0.9936,0.4250
-1.000,-0.0269,0.03944,0.02544,-0.0562,0.9838,0.5159
-0.750,-0.0039,0.03807,0.02534,-0.0539,0.9739,0.7182
-0.500,0.0396,0.03820,0.02484,-0.0584,0.9569,1.0000
-0.250,0.0784,0.03914,0.02502,-0.0619,0.9445,1.0000
0.000,0.1153,0.04010,0.02541,-0.0648,0.9324,1.0000
0.250,0.1496,0.04105,0.02590,-0.0672,0.9203,1.0000
0.500,0.1818,0.04199,0.02646,-0.0692,0.9080,1.0000
0.750,0.2122,0.04293,0.02708,-0.0709,0.8959,1.0000
1.000,0.2415,0.04389,0.02776,-0.0723,0.8839,1.0000
1.250,0.2702,0.04488,0.02850,-0.0736,0.8722,1.0000
1.500,0.2991,0.04588,0.02929,-0.0749,0.8607,1.0000
1.750,0.3295,0.04693,0.03014,-0.0764,0.8498,1.0000
2.000,0.3579,0.04797,0.03103,-0.0775,0.8386,1.0000
2.250,0.3805,0.04904,0.03198,-0.0778,0.8269,1.0000
2.500,0.4039,0.05015,0.03297,-0.0782,0.8156,1.0000
