Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-NACA4412-250000-n5
Airfoil,NACA4412
Reynolds number,250000
Ncrit,5
Mach,0.0
Max Cl/Cd,83.5582
Max Cl/Cd alpha,6.4
Clmax,1.4266
Clmax alpha,14.1
Stall alpha,14.1


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.4220,0.16764,0.16393,-0.0224,1.0000,0.0246
-14.750,-0.4172,0.16385,0.16015,-0.0241,1.0000,0.0246
-14.500,-0.4108,0.15991,0.15621,-0.0251,1.0000,0.0217
-14.250,-0.4031,0.15703,0.15334,-0.0260,1.0000,0.0210
-14.000,-0.3986,0.15313,0.14944,-0.0275,1.0000,0.0202
-13.750,-0.3967,0.14849,0.14480,-0.0292,1.0000,0.0197
-13.500,-0.3928,0.14468,0.14101,-0.0307,1.0000,0.0197
-13.250,-0.3869,0.14159,0.13792,-0.0319,1.0000,0.0201
-13.000,-0.3827,0.13803,0.13438,-0.0332,1.0000,0.0204
-12.750,-0.3797,0.13416,0.13052,-0.0346,1.0000,0.0206
-12.500,-0.3778,0.13010,0.12647,-0.0361,1.0000,0.0206
-12.250,-0.3766,0.12593,0.12231,-0.0375,1.0000,0.0206
-12.000,-0.3764,0.12163,0.11802,-0.0391,1.0000,0.0207
-11.750,-0.3777,0.11709,0.11350,-0.0407,1.0000,0.0210
-11.500,-0.3848,0.11116,0.10759,-0.0428,1.0000,0.0216
-11.000,-0.6229,0.06123,0.05780,-0.0643,1.0000,0.0220
-10.750,-0.7145,0.03855,0.03427,-0.0849,0.9923,0.0215
-10.500,-0.7006,0.03395,0.02917,-0.0890,0.9870,0.0220
-10.250,-0.6754,0.03226,0.02736,-0.0909,0.9835,0.0224
-10.000,-0.6500,0.03048,0.02538,-0.0928,0.9799,0.0229
-9.750,-0.6249,0.02848,0.02309,-0.0945,0.9762,0.0237
-9.500,-0.6004,0.02616,0.02027,-0.0960,0.9722,0.0247
-9.250,-0.5716,0.02521,0.01930,-0.0972,0.9688,0.0252
-9.000,-0.5409,0.02412,0.01808,-0.0988,0.9662,0.0260
-8.750,-0.5133,0.02289,0.01662,-0.0997,0.9620,0.0270
-8.500,-0.4846,0.02173,0.01523,-0.1006,0.9582,0.0280
-8.250,-0.4545,0.02099,0.01445,-0.1016,0.9545,0.0289
-8.000,-0.4265,0.02017,0.01348,-0.1021,0.9497,0.0301
-7.750,-0.3957,0.01922,0.01235,-0.1031,0.9463,0.0314
