angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.5301,1.5301,200
-14.75,-1.53266,1.53266,200
-14.5,-1.56532,1.56532,200
-14.25,-1.62394,1.62394,200
-14.0,-1.68044,1.68044,200
-13.75,-1.7358,1.7358,200
-13.5,-1.64616,1.64616,200
-13.25,-1.58936,1.58936,200
-13.0,-1.58234,1.58234,200
-12.75,-1.60794,1.60794,200
-12.25,-1.70166,1.70166,200
-11.25,-1.88332,1.88332,200
-11.0,-1.92392,1.92392,200
-10.75,-1.97206,1.97206,200
-10.5,-2.30519,2.30519,200
-10.25,-2.33446,2.33446,200
-9.75,-2.44026,2.44026,200
-9.5,-2.55276,2.55276,200
-9.25,-2.46757,2.46757,200
-9.0,-2.49342,2.49342,200
-8.75,-2.56478,2.56478,200
-8.5,-2.67056,2.67056,200
-8.25,-2.91718,2.91718,200
-8.0,-3.87002,3.87002,200
-7.75,-3.81194,3.81194,200
-7.5,-3.79382,3.79382,200
-7.25,-3.8109,3.8109,200
-7.0,-3.7497,3.7497,200
-6.75,-3.58349,3.58349,200
-6.5,-3.44407,3.44407,200
-6.25,-3.31163,3.31163,200
-6.0,-3.13969,3.13969,200
-5.75,-3.06089,3.06089,200
-5.5,-2.82367,2.82367,200
-5.25,-2.68328,2.68328,200
-5.0,-2.51004,2.51004,200
-4.75,-2.37858,2.37858,200
-4.5,-2.21629,2.21629,200
-4.25,-2.07983,2.07983,200
-4.0,-1.93928,1.93928,200
-3.75,-1.80848,1.80848,200
-3.5,-1.67728,1.67728,200
-3.25,-1.55151,1.55151,200
-3.0,-1.43611,1.43611,200
-2.75,-1.31378,1.31378,200
-2.5,-1.20923,1.20923,200
-2.25,-1.10281,1.10281,200
-2.0,-1.001,1.001,200
-1.75,-0.9093,0.9093,200
-1.5,-0.81576,0.81576,200
-1.25,-0.73006,0.73006,200
-1.0,-0.65937,0.65937,200
-0.75,-0.67809,0.67809,200
-0.5,-0.69654,0.69654,200
-0.25,-0.73228,0.73228,200
0.0,-0.75274,0.75274,200
0.25,-0.77399,0.77399,200
0.5,-0.79544,0.79544,200
0.75,-0.81792,0.81792,200
1.0,-0.84103,0.84103,200
1.25,-0.86405,0.86405,200
1.5,-0.88718,0.88718,200
1.75,-0.91142,0.91142,200
2.0,-0.9366,0.9366,200
2.25,-0.96242,0.96242,200
2.5,-0.98831,0.98831,200
2.75,-1.01579,1.01579,200
3.0,-1.04469,1.04469,200
3.25,-1.07377,1.07377,200
3.5,-1.10446,1.10446,200
3.75,-1.13776,1.13776,200
4.0,-1.17253,1.17253,200
4.25,-1.21149,1.21149,200
4.75,-1.32178,1.32178,200
5.0,-1.39506,1.39506,200
5.25,-1.47655,1.47655,200
5.5,-1.56424,1.56424,200
5.75,-1.65706,1.65706,200
6.0,-1.75715,1.75715,200
6.25,-1.86087,1.86087,200
6.5,-1.9697,1.9697,200
6.75,-2.08142,2.08142,200
7.0,-2.20001,2.20001,200
7.25,-2.31805,2.31805,200
7.5,-2.43743,2.43743,200
7.75,-2.56093,2.56093,200
8.0,-2.68293,2.68293,200
8.25,-2.80483,2.80483,200
8.5,-2.93209,2.93209,200
8.75,-3.05639,3.05639,200
9.0,-3.16957,3.16957,200
9.25,-3.28259,3.28259,200
9.5,-3.38548,3.38548,200
9.75,-3.48809,3.48809,200
10.0,-3.57965,3.57965,200
10.5,-3.75435,3.75435,200
10.75,-3.83571,3.83571,200
11.0,-3.9181,3.9181,200
11.25,-4.00056,4.00056,200
11.5,-4.08527,4.08527,200
11.75,-4.15999,4.15999,200
12.0,-4.23313,4.23313,200
12.25,-4.31535,4.31535,200
12.5,-4.38101,4.38101,200
12.75,-4.46081,4.46081,200
13.0,-4.52448,4.52448,200
13.25,-4.60015,4.60015,200
13.5,-4.68249,4.68249,200
13.75,-4.75494,4.75494,200
14.0,-4.83524,4.83524,200
14.25,-4.91981,4.91981,200
14.5,-4.99598,4.99598,200
14.75,-5.07916,5.07916,200
15.0,-5.16134,5.16134,200
15.25,-5.24847,5.24847,200
15.5,-5.33233,5.33233,200
15.75,-5.41977,5.41977,200
16.0,-5.48554,5.48554,200
16.25,-5.5679,5.5679,200
16.5,-5.64924,5.64924,200
16.75,-5.75862,5.75862,200
17.0,-5.80506,5.80506,200
17.25,-5.83704,5.83704,200
17.5,-5.86422,5.86422,200
17.75,-5.90529,5.90529,200
18.0,-5.95174,5.95174,200
18.25,-6.02443,6.02443,200
18.5,-6.04474,6.04474,200
18.75,-5.97218,5.97218,200
19.0,-5.84662,5.84662,200
19.25,-5.6645,5.6645,200
19.5,-5.35486,5.35486,200
20.25,-3.13867,3.13867,200
20.5,-3.07819,3.07819,200
20.75,-3.00921,3.00921,200
21.0,-2.96897,2.96897,200
21.25,-3.01778,3.01778,200
21.5,-2.99805,2.99805,200
21.75,-2.87319,2.87319,200
22.0,-2.80639,2.80639,200
22.25,-2.76103,2.76103,200
22.5,-2.70723,2.70723,200
22.75,-2.64478,2.64478,200
23.0,-2.61147,2.61147,200
23.25,-2.57479,2.57479,200
23.5,-2.58133,2.58133,200
24.0,-2.74445,2.74445,200
24.25,-2.36761,2.36761,200
24.5,-2.43428,2.43428,200
24.75,-2.40429,2.40429,200
25.0,-2.36234,2.36234,200
25.25,-2.31455,2.31455,200
25.5,-2.26191,2.26191,200
25.75,-2.25613,2.25613,200
26.0,-2.28397,2.28397,200
26.25,-2.36636,2.36636,200
26.5,-2.40936,2.40936,200
26.75,-2.36142,2.36142,200
27.0,-2.3034,2.3034,200
27.25,-2.28074,2.28074,200
27.5,-2.28499,2.28499,200
27.75,-2.30385,2.30385,200
28.0,-2.35304,2.35304,200
28.25,-2.44739,2.44739,200
28.5,-2.35531,2.35531,200
28.75,-2.30237,2.30237,200
29.0,-2.29094,2.29094,200
29.25,-2.30839,2.30839,200
29.5,-2.33104,2.33104,200
29.75,-2.38533,2.38533,200
30.0,-2.46616,2.46616,200
